,VIX,S&P500,VBMFX,VFINX
2020-01-31,18.84000015258789,6551.0,11.077889442443848,294.2062072753906
2020-02-03,17.969999313354492,6598.6298828125,11.077889442443848,296.338623046875
2020-02-04,16.049999237060547,6697.490234375,11.038534164428711,300.78118896484375
2020-02-05,15.149999618530273,6772.97998046875,11.009020805358887,304.1673889160156
2020-02-06,14.960000038146973,6796.64013671875,11.01885986328125,305.2336120605469
2020-02-07,15.470000267028809,6761.259765625,11.058212280273438,303.6441650390625
2020-02-10,15.039999961853027,6811.830078125,11.068050384521484,305.9148254394531
2020-02-11,15.180000305175781,6823.58984375,11.048373222351074,306.4380187988281
2020-02-12,13.739999771118164,6867.919921875,11.02869701385498,308.42242431640625
2020-02-13,14.149999618530273,6858.919921875,11.038534164428711,308.0274963378906
2020-02-14,13.680000305175781,6872.68017578125,11.048373222351074,308.6396179199219
2020-02-18,14.829999923706055,6853.0400390625,11.068050384521484,307.7510681152344
2020-02-19,14.380000114440918,6886.47021484375,11.068050384521484,309.2516784667969
2020-02-20,15.5600004196167,6860.52001953125,11.087728500366211,308.07684326171875
2020-02-21,17.079999923706055,6788.60009765625,11.117241859436035,304.84857177734375
2020-02-24,25.030000686645508,6561.93994140625,11.156595230102539,294.66033935546875
2020-02-25,27.850000381469727,6363.3701171875,11.176270484924316,285.7455749511719
2020-02-26,27.559999465942383,6339.3798828125,11.156595230102539,284.6596374511719
2020-02-27,39.15999984741211,6060.669921875,11.18610954284668,272.1414489746094
2020-02-28,40.11000061035156,6011.72998046875,11.266939163208008,269.959716796875
2020-03-02,33.41999816894531,6288.64013671875,11.247224807739258,282.37908935546875
2020-03-03,36.81999969482422,6112.06982421875,11.33594036102295,274.45159912109375
2020-03-04,31.989999771118164,6370.35009765625,11.3162260055542,286.0417175292969
2020-03-05,39.619998931884766,6155.580078125,11.375370979309082,276.4063415527344
2020-03-06,41.939998626708984,6050.7998046875,11.46408748626709,271.69720458984375
2020-03-09,54.459999084472656,5591.740234375,11.454230308532715,251.00299072265625
2020-03-10,47.29999923706055,5868.10986328125,11.30636978149414,263.4034729003906
2020-03-11,53.900001525878906,5581.759765625,11.237366676330566,250.5569305419922
2020-03-12,75.47000122070312,5051.97021484375,11.128934860229492,226.77696228027344
2020-03-13,57.83000183105469,5522.85009765625,11.069792747497559,247.91030883789062
2020-03-16,82.69000244140625,4861.22021484375,11.168366432189941,218.21261596679688
2020-03-17,75.91000366210938,5152.830078125,10.981077194213867,231.25738525390625
2020-03-18,76.44999694824219,4885.77978515625,10.803643226623535,219.29307556152344
2020-03-19,72.0,4909.1298828125,10.71492862701416,220.323974609375
2020-03-20,66.04000091552734,4697.08984375,10.862789154052734,210.80801391601562
2020-03-23,61.59000015258789,4559.5,10.951504707336426,204.632568359375
